unique_id,ds,NBEATSx
upi,2024-06-30,1.1101401e+13
upi,2024-07-31,1.1562255e+13
upi,2024-08-31,1.1568057e+13
upi,2024-09-30,1.2481504e+13
upi,2024-10-31,1.2334397e+13
upi,2024-11-30,1.3052689e+13
